ticketid,use_date,start_time,end_time,assignment,comments,repname,repsign,vendorsign,sign_date,equipmentid_id,incidentid_id,vendorid_id
78,2019-03-10 22:08:38,2019-03-18 11:47:41,2018-09-13 11:10:19,monitor crews,unacceptable,Deana Fust,Jaclyn Lefwich,King Challen,2018-04-21 09:26:38,68,53,9
91,2019-03-21 18:23:58,2018-11-10 23:02:52,2018-11-04 18:23:09,monitor crews,unacceptable,Chrystel Gusticke,Elysia Shovlar,Robert Norrington,2019-03-02 15:28:59,6,63,53
76,2018-11-12 03:56:56,2018-05-12 04:55:31,2018-11-19 16:00:01,monitor crews,great,Peadar Allcock,Kathlin Liveing,Marcelline Welland,2018-08-13 10:40:29,19,62,20
53,2019-03-12 09:19:05,2018-11-18 11:20:20,2018-08-11 02:28:27,monitor crews,great,Vida holmes,Brook Derobert,Jeromy Cornish,2019-03-21 21:56:34,77,42,41
50,2018-09-18 20:11:34,2018-06-10 09:19:41,2018-09-15 12:04:13,monitor crews,exceptional,Felicity Jelf,Deidre Elcome,Mora Petyanin,2018-10-19 15:57:06,33,20,97
18,2019-01-31 18:23:49,2018-10-02 17:37:26,2018-11-18 07:42:15,cut brush,poor,Edithe Kyrkeman,Lynna Windsor,Cora Iwanczyk,2018-11-28 10:21:34,64,10,64
90,2019-01-10 14:03:46,2018-08-02 17:24:24,2018-12-18 10:52:37,monitor crews,poor,Doti Dominici,Benn Prinett,Lisle Cardenas,2019-01-07 15:58:57,6,31,23
97,2018-11-30 10:41:45,2018-09-15 22:44:11,2019-02-03 23:33:55,cut brush,poor,Langsdon Timbridge,Frans Ragate,Alvin Grigor,2018-04-30 22:03:26,70,38,1
31,2018-09-04 23:35:59,2019-01-17 01:37:17,2019-03-21 01:52:26,cut brush,poor,Marcia Hannaway,Bertrand Androlli,Tris Dumpleton,2018-09-06 07:27:06,55,80,84
76,2019-01-29 23:14:47,2018-05-24 01:41:54,2019-03-16 09:03:48,water,great,Phil Semiraz,Lari Woodland,Henry Carslaw,2018-04-14 07:13:32,10,94,92
63,2018-11-07 08:30:08,2019-01-12 01:10:38,2018-06-11 04:48:10,monitor crews,exceptional,Bordie Furnell,Rafaello Mc Kellen,Letitia Matijasevic,2018-10-24 06:04:23,11,14,64
76,2018-12-30 10:52:36,2018-08-08 11:24:19,2018-08-19 17:35:38,cut brush,exceptional,Archaimbaud Culp,Koressa Toffanini,Alfons Spoerl,2018-08-25 12:18:41,47,6,73
28,2018-04-21 08:51:41,2018-09-02 19:14:31,2018-07-27 17:25:13,water,unacceptable,Coretta Small,Irv Sorbie,Sven Tarbert,2018-08-08 21:20:06,20,28,55
32,2018-05-09 14:21:00,2018-05-30 09:13:53,2018-05-14 02:31:06,cut brush,poor,Jessika Amorts,Gussie Rozenbaum,Brenda Lehr,2018-08-05 16:31:56,90,14,2
85,2018-09-16 13:23:16,2019-01-08 18:05:30,2018-09-06 03:58:30,water,exceptional,Wyatt Geldard,Neala Batrip,Frederico Yellowlea,2019-01-10 13:10:04,75,65,82
69,2018-05-20 20:43:25,2018-10-06 18:22:15,2019-01-13 06:20:35,monitor crews,unacceptable,Leona Scarrisbrick,Raddie Sara,Abel Howett,2018-04-17 18:26:14,75,41,64
33,2018-08-31 16:05:01,2019-04-04 07:28:16,2018-10-05 18:18:46,water,exceptional,Carmela Decort,Joya Thody,Margret Dimitresco,2018-06-18 03:29:44,69,89,94
79,2018-04-14 12:53:01,2018-12-03 20:50:12,2018-10-04 02:31:48,water,exceptional,Erin Jaksic,Mayer Ordelt,Candi Philp,2018-08-04 20:46:57,22,64,79
72,2018-09-29 11:56:54,2018-12-10 13:51:18,2019-03-19 08:19:40,water,exceptional,Lynn Ezele,Avrit Bletsor,Herrick Fellon,2018-09-18 10:37:46,10,95,98
